木***8,2017-08-06 16:37:26,好，当天就发货了
f***9,2017-08-06 16:26:16,很不错的一次购物，茅台酒，真的很棒呀！值了！
l***0,2017-08-06 15:20:33,没毛病，茅台好酒，溢价稍高了。渠道为王，喝着放心
w***1,2017-08-06 12:39:36,相信官网，老百姓太难买到，虽是第一品牌酒
t***r,2017-08-06 11:54:00,Very Good ！这次还送了个防伪鉴别器
q***9,2017-08-06 11:33:44,赞赞赞！！！！！
q***9,2017-08-06 11:33:22,赞赞赞
宁***司,2017-08-06 11:16:07,顺丰快递速度就是好，大品牌茅台酒
f***7,2017-08-06 10:26:34,非常感谢，好酒好服务
n***6,2017-08-06 10:03:08,收到了，包装很好，赞一个。
a***e,2017-08-06 10:03:00,包装很好，但真的是好难抢啊！
a***e,2017-08-06 10:02:25,包装很好，但真的是好难抢啊！
a***e,2017-08-06 10:02:14,包装很好，但真的是好难抢啊！
a***e,2017-08-06 10:02:05,包装很好，但真的是好难抢啊！
a***e,2017-08-06 10:01:52,包装很好，但真的是好难抢啊！
a***e,2017-08-06 10:01:41,包装很好，但真的是好难抢啊！
曾***0,2017-08-06 09:53:03,不错
z***8,2017-08-06 09:44:40,好，官网就是让人放心
随***9,2017-08-06 09:44:36,真品，现在买是用抢
l***g,2017-08-06 09:34:36,东西收到了，很满意，也非常划算，配送也很快。下次还来购买～～～
l***g,2017-08-06 09:34:25,东西收到了，很满意，也非常划算，配送也很快。下次还来购买～～～
l***g,2017-08-06 09:34:13,东西收到了，很满意，也非常划算，配送也很快。下次还来购买～～～
l***g,2017-08-06 09:33:57,东西收到了，很满意，也非常划算，配送也很快。下次还来购买～～～
x***1,2017-08-06 08:50:55,棒极了，是正品
新***品,2017-08-06 02:24:48,此用户没有填写评论!
w***y,2017-08-05 21:07:39,好难抢真是秒杀啊，不过还好，抢到二瓶，继续秒杀?
w***y,2017-08-05 21:01:27,家里人都不会喝酒，可是老公和儿子都说买二瓶，只好我去秒杀，还好二天搞定二瓶，收到酒好兴奋啊?看到瓶子都那么漂亮.放几年估计会更好，我想再买2瓶一家人也尝试的慢慢喝点。
三***雾,2017-08-05 20:45:51,喜欢。
s***o,2017-08-05 20:27:47,好收到了，看起来不错
s***r,2017-08-05 20:22:33,买了六瓶，分五次拍，真是累并快乐着，每次都拍得好辛苦，发票在6天后寄出，还算可以啦。
5***1,2017-08-05 19:54:28,用顺丰快递一如既位的好！
s***y,2017-08-05 19:00:31,好评！
